First_Reaction,Second_Reaction,Second_Reaction_Author,SBGN_Status,Cyclic?,Expected_Release,Review_Status,Approved/Rejected,Reasons_for_Rejection,Other_Comments
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9609917"",""Tail-anchored protein:ASNA1:ADP:WRB:CAMLG dissociates yielding Tail-anchored protein in the endoplasmic reticulum membrane"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9609899"",""Tail-anchored protein:ASNA1:ADP binds WRB:CAMLG at the endoplasmic reticulum membrane"")","May, B",Same,True,,,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9609917"",""Tail-anchored protein:ASNA1:ADP:WRB:CAMLG dissociates yielding Tail-anchored protein in the endoplasmic reticulum membrane"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9610442"",""Tail-anchored protein:SGTA dimer binds BAG6:GET4:UBL4A and ASNA1:ATP"")","May, B",Same,False,,,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9610442"",""Tail-anchored protein:SGTA dimer binds BAG6:GET4:UBL4A and ASNA1:ATP"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9609860"",""Tail-anchored protein:SGTA:BAG6:GET4:UBL4A:ASNA1:ATP dissociates and ASNA1 hydrolyzes ATP yielding Tail-anchored protein:ASNA1:ADP"")","May, B",Same,True,,,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9617595"",""SGTA binds mislocalized membrane protein"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9617596"",""BAG6:GET4:UBL4A binds mislocalized membrane protein:SGTA and ASNA1:ATP"")","May, B",Same,False,,,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1307803"",""TIMM22 inserts proteins into inner membrane"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1955380"",""TIMM9:TIMM10 transfers proteins to TIMM22"")","May, B",Same,False,,,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1307803"",""TIMM22 inserts proteins into inner membrane"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1307803"",""TIMM22 inserts proteins into inner membrane"")","May, B",Same,True,,,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9033235"",""Cargo of PEX5S,L translocates from the cytosol to the peroxisomal matrix"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9033529"",""TYSND1 cleaves ACAA1"")","May, B",Different,False,,,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9033235"",""Cargo of PEX5S,L translocates from the cytosol to the peroxisomal matrix"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9033506"",""TYSND1 cleaves AGPS"")","May, B",Different,False,,,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9033235"",""Cargo of PEX5S,L translocates from the cytosol to the peroxisomal matrix"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9033490"",""TYSND1 cleaves PHYH"")","May, B",Different,False,,,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9603775"",""PEX3:PEX19:class I PMP dissociates"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9603797"",""PEX19:PEX3 binds PEX16"")","May, B",Same,False,,,,,
